0	0	1-1
12	12	1-2
24	24	1-1
36	36	1-2
48	48	1-1
60	60	1-2
72	72	1-1
84	84	1-2
96	96	1-1
96	96	1-3
108	108	1-2
108	108	1-4
120	120	1-1
120	120	1-3
132	132	1-2
132	132	1-4
144	144	1-5
144	144	1-1
144	144	1-3
156	156	1-2
156	156	1-4
168	168	1-1
168	168	1-3
180	180	1-2
180	180	1-4
192	192	1-6
216	216	1-7
240	240	1-8
252	252	1-9
264	264	1-10
276	276	1-11
372	372	1-12
491	491	2-0
515	515	2-1
539	539	2-2
587	587	2-3
599	599	2-4
623	623	2-5
635	635	3-0
659	659	3-1
683	683	3-2
707	707	3-3
731	731	3-4
755	755	3-5
851	851	4-1
875	875	4-2
899	899	4-3
947	947	4-4
995	995	4-5
1019	1019	4-6
1043	1043	4-7
1067	1067	4-8
1090	1090	4-9
1114	1114	4-10
1126	1126	4-11
1138	1138	4-12
1150	1150	4-13
1162	1162	4-14
1174	1174	4-15
1186	1186	4-16
1198	1198	4-17
1210	1210	4-18
1234	1234	4-19
1246	1246	4-20
1258	1258	4-21
1270	1270	4-22
